name,V0001T8B1,V0002T8B1,V0003T8B1,V0004T8B1,V0005T8B1,V0006T8B1,V0007T8B1,V0008T8B1,V0009T8B1,V0010T8B1,V0011T8B1,V0012T8B1,V0013T8B1,V0014T8B1,V0015T8B1,V0016T8B1,V0017T8B1,V0018T8B1,id
DCLK1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,ENST00000379893
FGF13,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,ENST00000305414
HS6ST3,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,ENST00000620595
SORCS1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,ENST00000622431
GRIK3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,ENST00000373091
ATRNL1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,ENST00000355044
TENM2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,ENST00000519204
ADAMTS3,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,ENST00000286657
CLSTN2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,ENST00000458420
GALNTL6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,ENST00000511251
LRRC4C,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,ENST00000619527
KIRREL3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,ENST00000525144
ASIC2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,ENST00000225823
RGS6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,ENST00000402788
DCC,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,ENST00000412726
EYA4,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,ENST00000355167
ROBO1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,ENST00000464233
GRM8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,ENST00000489939
ZNF385D,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,ENST00000281523
COL11A1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,ENST00000370096
RYR3,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,ENST00000634730
SLC24A2,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,ENST00000341998
L3MBTL4,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,ENST00000317931
PDE4B,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,ENST00000371045
RBFOX1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ENST00000340209
NPAS3,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,ENST00000346562
GRIN3A,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,ENST00000361820
SEMA6D,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,ENST00000316364
TMEM132D,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,ENST00000422113
HS3ST2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,ENST00000261374
ZMAT4,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,ENST00000297737
NKAIN2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,ENST00000368417
GRIP1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,ENST00000398016
SOX6,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENST00000316399
ITGB8,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,ENST00000222573
DACH1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,ENST00000613252
PLD5,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,ENST00000536534
ADAMTSL1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,ENST00000380548
PLCB1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,ENST00000637935
ZNF804A,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,ENST00000613975
HPSE2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,ENST00000404542
SORCS3,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,ENST00000369699
FGF12,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,ENST00000445105
RBFOX3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,ENST00000583458
THEMIS,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,ENST00000537166
